Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.7008109092712402	0	13.5810810811	3.98648648649	32.0	8.0	13.5810810811	3.98648648649	1005	1005
1.0322158336639404	1	15.0441176471	4.7199009945	27.0	8.0	15.0441176471	4.7199009945	1023	2028
1.380321979522705	2	18.7222222222	7.94755183984	50.0	8.0	18.7222222222	7.94755183984	1011	3039
1.7156689167022705	3	20.875	11.4956966586	64.0	10.0	20.875	11.4956966586	1002	4041
2.0696640014648438	4	22.9090909091	11.1941912327	51.0	10.0	22.9090909091	11.1941912327	1008	5049
2.4546008110046387	5	28.0833333333	26.4495064016	164.0	10.0	28.0833333333	26.4495064016	1011	6060
2.90762996673584	6	45.7916666667	33.638989242	146.0	11.0	45.7916666667	33.638989242	1099	7159
3.337362766265869	7	44.347826087	32.0008270214	140.0	12.0	44.347826087	32.0008270214	1020	8179
3.781352996826172	8	61.8823529412	26.6367334884	118.0	18.0	61.8823529412	26.6367334884	1052	9231
4.256942987442017	9	60.1666666667	35.0115060452	162.0	15.0	60.1666666667	35.0115060452	1083	10314
4.710639953613281	10	61.8823529412	22.2363834156	95.0	16.0	61.8823529412	22.2363834156	1052	11366
5.230896949768066	11	71.4666666667	21.3162431545	125.0	42.0	71.4666666667	21.3162431545	1072	12438
5.7898218631744385	12	68.2	31.1002679517	135.0	10.0	68.2	31.1002679517	1023	13461
6.337663888931274	13	81.1538461538	42.0527985968	200.0	27.0	81.1538461538	42.0527985968	1055	14516
6.824161767959595	14	86.9166666667	25.4442473306	146.0	57.0	86.9166666667	25.4442473306	1043	15559
7.367879867553711	15	71.7333333333	14.3548675446	102.0	52.0	71.7333333333	14.3548675446	1076	16635
7.853463888168335	16	77.0	21.5539191	120.0	45.0	77.0	21.5539191	1078	17713
8.403987884521484	17	88.9166666667	22.9581442823	134.0	54.0	88.9166666667	22.9581442823	1067	18780
8.994719982147217	18	101.5	23.3848241387	154.0	66.0	101.5	23.3848241387	1015	19795
9.477306842803955	19	99.1818181818	23.5442260122	130.0	50.0	99.1818181818	23.5442260122	1091	20886
10.015899896621704	20	102.4	38.1502293571	186.0	62.0	102.4	38.1502293571	1024	21910
10.509753942489624	21	95.4545454545	23.2314975699	133.0	52.0	95.4545454545	23.2314975699	1050	22960
11.032277822494507	22	90.75	34.2907300399	177.0	35.0	90.75	34.2907300399	1089	24049
11.561603784561157	23	126.25	39.4231848029	188.0	86.0	126.25	39.4231848029	1010	25059
12.095587968826294	24	125.375	31.5394098708	176.0	79.0	125.375	31.5394098708	1003	26062
12.686714887619019	25	136.25	37.0666629197	200.0	109.0	136.25	37.0666629197	1090	27152
13.501047849655151	26	190.333333333	21.6153237825	200.0	142.0	190.333333333	21.6153237825	1142	28294
14.292970895767212	27	178.666666667	38.3478233483	200.0	95.0	178.666666667	38.3478233483	1072	29366
15.029526948928833	28	189.666666667	23.1060357675	200.0	138.0	189.666666667	23.1060357675	1138	30504
15.676087856292725	29	169.166666667	44.2621609153	200.0	83.0	169.166666667	44.2621609153	1015	31519
16.31910991668701	30	153.428571429	36.5624989098	200.0	91.0	153.428571429	36.5624989098	1074	32593
17.002744913101196	31	159.285714286	39.7014367704	200.0	109.0	159.285714286	39.7014367704	1115	33708
17.645172834396362	32	174.333333333	34.2620619474	200.0	104.0	174.333333333	34.2620619474	1046	34754
18.39002799987793	33	196.666666667	7.453559925	200.0	180.0	196.666666667	7.453559925	1180	35934
19.17662477493286	34	197.666666667	5.2174919475	200.0	186.0	197.666666667	5.2174919475	1186	37120
19.937787771224976	35	195.5	10.0623058987	200.0	173.0	195.5	10.0623058987	1173	38293
20.636287927627563	36	189.333333333	23.85139176	200.0	136.0	189.333333333	23.85139176	1136	39429
21.42897081375122	37	199.833333333	0.37267799625	200.0	199.0	199.833333333	0.37267799625	1199	40628
22.06353497505188	38	181.5	26.5188612124	200.0	137.0	181.5	26.5188612124	1089	41717
22.79903483390808	39	195.5	7.69740215917	200.0	179.0	195.5	7.69740215917	1173	42890
23.528841972351074	40	197.166666667	4.25897744639	200.0	189.0	197.166666667	4.25897744639	1183	44073
24.25366497039795	41	196.833333333	7.08088192875	200.0	181.0	196.833333333	7.08088192875	1181	45254
24.96254277229309	42	187.0	29.0688837075	200.0	122.0	187.0	29.0688837075	1122	46376
25.751675844192505	43	200.0	0.0	200.0	200.0	200.0	0.0	1200	47576
26.45882797241211	44	184.666666667	34.286375655	200.0	108.0	184.666666667	34.286375655	1108	48684
27.217750787734985	45	200.0	0.0	200.0	200.0	200.0	0.0	1200	49884
27.999393939971924	46	200.0	0.0	200.0	200.0	200.0	0.0	1200	51084
28.697483777999878	47	186.166666667	30.9322736887	200.0	117.0	186.166666667	30.9322736887	1117	52201
29.488383769989014	48	200.0	0.0	200.0	200.0	200.0	0.0	1200	53401
30.256855964660645	49	197.166666667	6.33552593625	200.0	183.0	197.166666667	6.33552593625	1183	54584
31.04901385307312	50	197.166666667	6.33552593625	200.0	183.0	197.166666667	6.33552593625	1183	55767
31.820145845413208	51	190.166666667	21.9880017787	200.0	141.0	190.166666667	21.9880017787	1141	56908
32.54164099693298	52	187.666666667	18.8561808316	200.0	149.0	187.666666667	18.8561808316	1126	58034
33.223978996276855	53	188.833333333	24.9694257487	200.0	133.0	188.833333333	24.9694257487	1133	59167
33.94567084312439	54	166.285714286	63.9234235757	200.0	16.0	166.285714286	63.9234235757	1164	60331
34.55558490753174	55	167.0	54.6382039724	200.0	47.0	167.0	54.6382039724	1002	61333
35.21388292312622	56	173.666666667	33.119312929	200.0	122.0	173.666666667	33.119312929	1042	62375
35.90533089637756	57	190.166666667	21.9880017787	200.0	141.0	190.166666667	21.9880017787	1141	63516
36.74864196777344	58	200.0	0.0	200.0	200.0	200.0	0.0	1200	64716
37.448492765426636	59	192.333333333	17.1431878275	200.0	154.0	192.333333333	17.1431878275	1154	65870
38.08757495880127	60	169.833333333	58.9644431463	200.0	39.0	169.833333333	58.9644431463	1019	66889
38.858240842819214	61	200.0	0.0	200.0	200.0	200.0	0.0	1200	68089
39.57917284965515	62	168.142857143	59.8579952207	200.0	28.0	168.142857143	59.8579952207	1177	69266
40.40762495994568	63	200.0	0.0	200.0	200.0	200.0	0.0	1200	70466
41.008580923080444	64	168.333333333	44.7871509352	200.0	104.0	168.333333333	44.7871509352	1010	71476
41.75390982627869	65	193.833333333	13.7890858612	200.0	163.0	193.833333333	13.7890858612	1163	72639
42.50193190574646	66	198.833333333	2.60874597375	200.0	193.0	198.833333333	2.60874597375	1193	73832
43.3000168800354	67	200.0	0.0	200.0	200.0	200.0	0.0	1200	75032
44.02560496330261	68	192.0	17.88854382	200.0	152.0	192.0	17.88854382	1152	76184
44.80276894569397	69	200.0	0.0	200.0	200.0	200.0	0.0	1200	77384
45.51557278633118	70	185.333333333	14.6931578937	200.0	169.0	185.333333333	14.6931578937	1112	78496
46.200262784957886	71	175.166666667	49.5325370057	200.0	65.0	175.166666667	49.5325370057	1051	79547
46.92664289474487	72	187.833333333	19.3943004228	200.0	148.0	187.833333333	19.3943004228	1127	80674
47.77995586395264	73	192.166666667	15.3884877605	200.0	158.0	192.166666667	15.3884877605	1153	81827
48.62097883224487	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	83027
49.40690493583679	75	200.0	0.0	200.0	200.0	200.0	0.0	1200	84227
50.23873496055603	76	200.0	0.0	200.0	200.0	200.0	0.0	1200	85427
51.068678855895996	77	200.0	0.0	200.0	200.0	200.0	0.0	1200	86627
51.87097191810608	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	87827
52.574434995651245	79	177.833333333	49.5661735012	200.0	67.0	177.833333333	49.5661735012	1067	88894
53.31493282318115	80	188.166666667	26.4601377337	200.0	129.0	188.166666667	26.4601377337	1129	90023
54.061094999313354	81	164.857142857	55.7735948057	200.0	68.0	164.857142857	55.7735948057	1154	91177
54.87822198867798	82	199.5	1.11803398875	200.0	197.0	199.5	1.11803398875	1197	92374
55.65256190299988	83	198.0	4.472135955	200.0	188.0	198.0	4.472135955	1188	93562
56.469515800476074	84	200.0	0.0	200.0	200.0	200.0	0.0	1200	94762
57.315096855163574	85	190.666666667	20.86996779	200.0	144.0	190.666666667	20.86996779	1144	95906
58.09754180908203	86	200.0	0.0	200.0	200.0	200.0	0.0	1200	97106
58.933289766311646	87	200.0	0.0	200.0	200.0	200.0	0.0	1200	98306
59.73978877067566	88	200.0	0.0	200.0	200.0	200.0	0.0	1200	99506
60.60484194755554	89	200.0	0.0	200.0	200.0	200.0	0.0	1200	100706
61.50392198562622	90	200.0	0.0	200.0	200.0	200.0	0.0	1200	101906
62.41595387458801	91	200.0	0.0	200.0	200.0	200.0	0.0	1200	103106
63.25772786140442	92	200.0	0.0	200.0	200.0	200.0	0.0	1200	104306
64.15081691741943	93	200.0	0.0	200.0	200.0	200.0	0.0	1200	105506
65.03342580795288	94	198.833333333	2.60874597375	200.0	193.0	198.833333333	2.60874597375	1193	106699
65.81835699081421	95	168.666666667	49.7046834368	200.0	67.0	168.666666667	49.7046834368	1012	107711
66.61500597000122	96	184.666666667	26.7062206653	200.0	127.0	184.666666667	26.7062206653	1108	108819
67.44828987121582	97	200.0	0.0	200.0	200.0	200.0	0.0	1200	110019
68.28689289093018	98	200.0	0.0	200.0	200.0	200.0	0.0	1200	111219
69.09919881820679	99	200.0	0.0	200.0	200.0	200.0	0.0	1200	112419
