Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.0539698600769043	0	14.8545994065	5.90776669581	56.0	8.0	14.8545994065	5.90776669581	5006	5006
3.8856630325317383	1	16.0673076923	6.72861916209	59.0	8.0	16.0673076923	6.72861916209	5013	10019
5.681496858596802	2	17.8149466192	7.32625008443	54.0	8.0	17.8149466192	7.32625008443	5006	15025
7.397573947906494	3	19.9322709163	8.51992008585	62.0	8.0	19.9322709163	8.51992008585	5003	20028
9.039484024047852	4	24.3140096618	12.4831460043	71.0	9.0	24.3140096618	12.4831460043	5033	25061
11.03365182876587	5	29.1453488372	17.2524629652	104.0	9.0	29.1453488372	17.2524629652	5013	30074
13.098888874053955	6	32.9868421053	20.950752669	118.0	10.0	32.9868421053	20.950752669	5014	35088
14.93990683555603	7	42.0588235294	25.9693724317	117.0	8.0	42.0588235294	25.9693724317	5005	40093
16.888077974319458	8	51.0202020202	27.1110621867	146.0	11.0	51.0202020202	27.1110621867	5051	45144
18.985551834106445	9	67.7297297297	32.7208906314	175.0	15.0	67.7297297297	32.7208906314	5012	50156
21.056267976760864	10	60.4047619048	28.2805330352	159.0	17.0	60.4047619048	28.2805330352	5074	55230
23.234553813934326	11	78.21875	31.8813565966	173.0	17.0	78.21875	31.8813565966	5006	60236
25.429637908935547	12	71.7142857143	33.2231171055	200.0	13.0	71.7142857143	33.2231171055	5020	65256
27.651262044906616	13	82.2131147541	32.0179840623	197.0	26.0	82.2131147541	32.0179840623	5015	70271
29.97712993621826	14	90.7857142857	32.861568025	200.0	25.0	90.7857142857	32.861568025	5084	75355
32.25371503829956	15	90.9821428571	33.0067585457	200.0	26.0	90.9821428571	33.0067585457	5095	80450
34.721383810043335	16	101.8	33.0502647493	188.0	45.0	101.8	33.0502647493	5090	85540
37.32143688201904	17	116.488372093	37.0062044408	200.0	43.0	116.488372093	37.0062044408	5009	90549
40.03889989852905	18	139.25	39.8876025017	200.0	68.0	139.25	39.8876025017	5013	95562
42.87464785575867	19	148.117647059	43.7840722489	200.0	50.0	148.117647059	43.7840722489	5036	100598
45.97600483894348	20	170.0	35.9017176934	200.0	93.0	170.0	35.9017176934	5100	105698
