Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.7158141136169434	0	26.3333333333	16.5302106232	87.0	9.0	26.3333333333	16.5302106232	1027	1027
1.0503740310668945	1	26.6052631579	14.8882494706	90.0	12.0	26.6052631579	14.8882494706	1011	2038
1.4192900657653809	2	29.5882352941	13.582249764	63.0	11.0	29.5882352941	13.582249764	1006	3044
1.7824618816375732	3	28.8571428571	10.9103957166	55.0	12.0	28.8571428571	10.9103957166	1010	4054
2.1259090900421143	4	33.4	13.5415410251	60.0	10.0	33.4	13.5415410251	1002	5056
2.4735090732574463	5	33.8333333333	15.6142740963	70.0	11.0	33.8333333333	15.6142740963	1015	6071
2.82131290435791	6	40.08	24.4620849479	106.0	12.0	40.08	24.4620849479	1002	7073
3.2020680904388428	7	44.3043478261	24.2423179811	118.0	14.0	44.3043478261	24.2423179811	1019	8092
3.584688901901245	8	42.1666666667	19.3448241714	77.0	15.0	42.1666666667	19.3448241714	1012	9104
3.9563939571380615	9	44.4347826087	26.1531045409	124.0	13.0	44.4347826087	26.1531045409	1022	10126
4.342259883880615	10	53.6315789474	31.1333473716	133.0	17.0	53.6315789474	31.1333473716	1019	11145
4.744729995727539	11	51.9	24.6554253664	101.0	21.0	51.9	24.6554253664	1038	12183
5.098328113555908	12	46.6818181818	16.3773301288	75.0	16.0	46.6818181818	16.3773301288	1027	13210
5.4815449714660645	13	51.05	34.8776074294	180.0	22.0	51.05	34.8776074294	1021	14231
5.8350830078125	14	47.2272727273	24.9689476572	95.0	14.0	47.2272727273	24.9689476572	1039	15270
6.19697904586792	15	50.2	28.7429991476	125.0	17.0	50.2	28.7429991476	1004	16274
6.533996105194092	16	45.3913043478	14.4785872793	72.0	19.0	45.3913043478	14.4785872793	1044	17318
6.923367023468018	17	63.1875	25.3826189301	110.0	27.0	63.1875	25.3826189301	1011	18329
7.321206092834473	18	59.1111111111	26.3899999766	121.0	20.0	59.1111111111	26.3899999766	1064	19393
7.669218063354492	19	50.35	18.9770255836	92.0	24.0	50.35	18.9770255836	1007	20400
8.021992921829224	20	53.8421052632	16.8374993702	88.0	27.0	53.8421052632	16.8374993702	1023	21423
8.384968996047974	21	54.2105263158	21.2146397996	112.0	27.0	54.2105263158	21.2146397996	1030	22453
8.78972601890564	22	57.0	23.4520787991	106.0	29.0	57.0	23.4520787991	1026	23479
