Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.8153319358825684	0	22.4347826087	12.9592206118	77.0	11.0	22.4347826087	12.9592206118	1032	1032
1.195375919342041	1	25.9	12.8253654919	56.0	9.0	25.9	12.8253654919	1036	2068
1.5579650402069092	2	28.9444444444	13.2831230524	59.0	10.0	28.9444444444	13.2831230524	1042	3110
1.955075979232788	3	40.0	25.1594912508	119.0	10.0	40.0	25.1594912508	1040	4150
2.353001832962036	4	42.1923076923	25.6395416237	127.0	14.0	42.1923076923	25.6395416237	1097	5247
2.7042629718780518	5	42.4583333333	15.3459526876	71.0	18.0	42.4583333333	15.3459526876	1019	6266
3.0693418979644775	6	45.5217391304	14.7172468042	78.0	20.0	45.5217391304	14.7172468042	1047	7313
3.5387508869171143	7	79.2142857143	29.2261589564	137.0	39.0	79.2142857143	29.2261589564	1109	8422
3.94923996925354	8	64.0	24.3926218353	121.0	34.0	64.0	24.3926218353	1024	9446
4.382020950317383	9	66.625	39.8463847168	200.0	27.0	66.625	39.8463847168	1066	10512
4.84845495223999	10	80.2307692308	30.3977576252	137.0	35.0	80.2307692308	30.3977576252	1043	11555
5.27081298828125	11	75.3571428571	30.9229622099	137.0	30.0	75.3571428571	30.9229622099	1055	12610
5.7140820026397705	12	85.4166666667	38.6425032258	157.0	30.0	85.4166666667	38.6425032258	1025	13635
6.192389965057373	13	111.666666667	47.3661857822	188.0	45.0	111.666666667	47.3661857822	1005	14640
6.662130832672119	14	112.0	46.5283664971	182.0	38.0	112.0	46.5283664971	1008	15648
7.164554834365845	15	112.888888889	54.4394555537	200.0	60.0	112.888888889	54.4394555537	1016	16664
7.68271803855896	16	120.111111111	35.2055691442	200.0	67.0	120.111111111	35.2055691442	1081	17745
8.25080394744873	17	124.777777778	35.4957830916	169.0	36.0	124.777777778	35.4957830916	1123	18868
8.872838973999023	18	155.0	36.7073367521	200.0	107.0	155.0	36.7073367521	1085	19953
9.462745904922485	19	161.428571429	29.2665442484	200.0	123.0	161.428571429	29.2665442484	1130	21083
9.993681907653809	20	144.857142857	23.2097797825	167.0	113.0	144.857142857	23.2097797825	1014	22097
10.525025844573975	21	148.571428571	38.0783295809	200.0	99.0	148.571428571	38.0783295809	1040	23137
11.227771043777466	22	199.833333333	0.37267799625	200.0	199.0	199.833333333	0.37267799625	1199	24336
11.763025999069214	23	148.714285714	32.9619446623	200.0	110.0	148.714285714	32.9619446623	1041	25377
12.316237926483154	24	169.833333333	32.7384415566	200.0	117.0	169.833333333	32.7384415566	1019	26396
12.865511894226074	25	170.166666667	39.1169897728	200.0	104.0	170.166666667	39.1169897728	1021	27417
13.512986898422241	26	191.666666667	14.2906340735	200.0	161.0	191.666666667	14.2906340735	1150	28567
14.11478590965271	27	177.5	32.7197697628	200.0	112.0	177.5	32.7197697628	1065	29632
14.763311862945557	28	188.333333333	12.3513382091	200.0	170.0	188.333333333	12.3513382091	1130	30762
15.398465871810913	29	165.142857143	41.1145736116	200.0	100.0	165.142857143	41.1145736116	1156	31918
16.079246997833252	30	196.666666667	5.02217305777	200.0	187.0	196.666666667	5.02217305777	1180	33098
16.692351818084717	31	185.666666667	27.4266699076	200.0	125.0	185.666666667	27.4266699076	1114	34212
17.31094002723694	32	186.666666667	18.8915030871	200.0	158.0	186.666666667	18.8915030871	1120	35332
18.024266958236694	33	200.0	0.0	200.0	200.0	200.0	0.0	1200	36532
