Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.679624080657959	0	9.35348837209	5.84096793656	39.0	3.0	9.35348837209	5.84096793656	2011	2011
2.5417070388793945	1	14.3120567376	9.22080191569	48.0	4.0	14.3120567376	9.22080191569	2018	4029
3.3460490703582764	2	22.7865168539	10.460704329	53.0	4.0	22.7865168539	10.460704329	2028	6057
4.143149137496948	3	29.0	13.1909059583	73.0	4.0	29.0	13.1909059583	2001	8058
4.931997060775757	4	36.7636363636	14.342516118	78.0	10.0	36.7636363636	14.342516118	2022	10080
5.688002109527588	5	43.6086956522	15.2963170629	74.0	21.0	43.6086956522	15.2963170629	2006	12086
6.440031051635742	6	55.5833333333	21.055976982	116.0	29.0	55.5833333333	21.055976982	2001	14087
7.191658973693848	7	67.6333333333	29.4714362656	125.0	6.0	67.6333333333	29.4714362656	2029	16116
7.975347995758057	8	73.4137931034	33.0980958317	171.0	25.0	73.4137931034	33.0980958317	2129	18245
8.725663185119629	9	59.7647058824	23.7846451006	122.0	12.0	59.7647058824	23.7846451006	2032	20277
9.46884298324585	10	65.1935483871	18.6727667056	114.0	32.0	65.1935483871	18.6727667056	2021	22298
10.251932144165039	11	66.6774193548	27.6992920566	124.0	28.0	66.6774193548	27.6992920566	2067	24365
11.00937819480896	12	71.5714285714	26.2208049504	146.0	28.0	71.5714285714	26.2208049504	2004	26369
11.765223026275635	13	81.12	29.2141335658	159.0	30.0	81.12	29.2141335658	2028	28397
12.503766059875488	14	84.5416666667	40.2336707732	230.0	21.0	84.5416666667	40.2336707732	2029	30426
13.25831913948059	15	85.5416666667	34.0893179342	177.0	35.0	85.5416666667	34.0893179342	2053	32479
14.000267028808594	16	101.8	33.9022123172	183.0	54.0	101.8	33.9022123172	2036	34515
14.769766092300415	17	99.9523809524	33.5509224775	172.0	39.0	99.9523809524	33.5509224775	2099	36614
15.519764184951782	18	101.5	31.6946367703	171.0	39.0	101.5	31.6946367703	2030	38644
16.26857018470764	19	112.833333333	25.983434894	156.0	74.0	112.833333333	25.983434894	2031	40675
17.038313150405884	20	115.222222222	51.538071748	248.0	53.0	115.222222222	51.538071748	2074	42749
17.764785051345825	21	111.166666667	41.5936026064	216.0	64.0	111.166666667	41.5936026064	2001	44750
18.504274129867554	22	114.444444444	43.4986873649	207.0	36.0	114.444444444	43.4986873649	2060	46810
19.29758906364441	23	111.052631579	33.9077287948	184.0	66.0	111.052631579	33.9077287948	2110	48920
20.057305097579956	24	89.2608695652	35.3851078861	186.0	25.0	89.2608695652	35.3851078861	2053	50973
20.832653999328613	25	89.9565217391	31.2179968453	147.0	33.0	89.9565217391	31.2179968453	2069	53042
21.594487190246582	26	78.4230769231	26.8244622527	130.0	39.0	78.4230769231	26.8244622527	2039	55081
22.348791122436523	27	77.9615384615	26.5539809694	147.0	26.0	77.9615384615	26.5539809694	2027	57108
23.1255099773407	28	73.4642857143	32.4768952409	141.0	14.0	73.4642857143	32.4768952409	2057	59165
